PSC	0	23092831D	22691582	2718069	5362468	5681756	2404888	0	12.1	37165	0	0	353786
PSC	0	23092833D	23491386	1993326	5296262	5126860	2167142	0	11.3	23898	0	0	345102
PSC	0	23092834D	22991073	2872581	4819397	5409238	2288173	0	9.8	14883	0	0	443014
PSC	0	23092835D	22830888	2661064	5263705	5574066	2356610	0	11.3	16277	0	0	370330
PSC	0	23092836D	22765845	2816735	5125750	5587220	2361132	0	9.9	32426	0	0	417819
PSC	0	23092837D	22679527	2841028	5226807	5675252	2398900	0	11.3	38670	0	0	378619
PSC	0	23092838D	22921755	2764831	5042496	5489937	2322934	0	10.3	10162	0	0	397010
PSC	0	23092839D	22834829	2905384	4967604	5536661	2342005	0	9.8	12766	0	0	418265
PSC	0	23092840D	22669513	2800597	5362675	5739033	2430632	0	18.2	16231	0	0	292960
PSC	0	23092841D	23031341	2766001	4880947	5382648	2269541	0	9.8	14364	0	0	447847
PSC	0	23092842D	22775513	2771891	5280147	5662026	2396270	0	14.3	7164	0	0	298375
PSC	0	23092843D	22838550	2865378	5078638	5585476	2364433	0	13.7	10168	0	0	343349
PSC	0	23092844D	22384292	2799364	5681017	5959173	2528255	0	20.8	51655	0	0	261019
PSC	0	23092846D	22758763	2717014	5211180	5577239	2356779	0	9.7	33451	0	0	439131
PSC	0	23092847D	22892759	2820417	4957031	5472342	2310788	0	9.6	17421	0	0	455903
PSC	0	23092848D	22794252	2550448	5458425	5635756	2379020	0	11.7	17508	0	0	322881
PSC	0	23092849D	22514365	2741990	5581792	5851595	2479023	0	15.0	45892	0	0	287636
PSC	0	23092850D	22968248	2735143	4980918	5430158	2291241	0	9.5	17020	0	0	441851
PSC	0	23092851D	23006028	2865634	4820418	5404169	2287311	0	9.8	17552	0	0	433978
PSC	0	23092852D	22884069	2786638	5001875	5475706	2318473	0	9.7	9086	0	0	453479
PSC	0	23092853D	23010437	2711328	4973587	5408079	2282324	0	10.0	11435	0	0	430827
PSC	0	23092854D	22633202	2807330	5250171	5671021	2392650	0	9.5	31244	0	0	435340
PSC	0	23092855D	23290941	3008023	4441225	5238084	2215960	0	12.9	4653	0	0	385815
PSC	0	23092856D	24149168	1338586	5400295	4734328	2007749	0	14.7	8240	0	0	237983
PSC	0	23092857D	23016817	2854379	4823718	5406562	2276945	0	10.0	4921	0	0	431337
PSC	0	23092858D	23110731	2714610	4898361	5358213	2260028	0	9.8	4326	0	0	402393
PSC	0	23092859D	22818307	2841435	5126442	5602959	2370826	0	13.4	11179	0	0	339682
PSC	0	23092861D	23104716	2593131	5077549	5395881	2280131	0	12.1	17895	0	0	350579
PSC	0	23092862D	23590000	2075236	5037272	5000381	2116407	0	9.7	17354	0	0	423627
PSC	0	23092863D	23254197	2766019	4671654	5230769	2211838	0	9.7	2500	0	0	434288
PSC	0	23092864D	23027451	2732625	4937344	5394114	2281139	0	9.5	4627	0	0	428781
PSC	0	23092865D	23158214	2687916	4845232	5298033	2240265	0	9.8	2305	0	0	434763
PSC	0	23092866D	24089477	1376527	5364711	4733603	2010763	0	12.9	11102	0	0	295269
PSC	0	23092867D	22693155	2823300	5283041	5699171	2413365	0	13.0	16016	0	0	326293
PSC	0	23092868D	22611922	2927549	5222116	5731681	2424320	0	11.5	36982	0	0	364293
PSC	0	23092869D	22701620	2612007	5466931	5681117	2403927	0	12.6	32379	0	0	345373
PSC	0	23092870D	22590912	2703405	5542377	5797305	2455310	0	15.6	16922	0	0	289055
PSC	0	23092871D	22980851	2657961	5162954	5496386	2330208	0	12.5	4951	0	0	324154
PSC	0	23092872D	23028911	2790368	4881645	5398452	2278937	0	9.6	14076	0	0	425125
PSC	0	23092873D	22779748	2880342	5166314	5659732	2393098	0	13.8	25210	0	0	299450
PSC	0	23092874D	22641889	2762355	5330012	5691053	2407556	0	10.2	32969	0	0	391721
PSC	0	23092875D	22838106	2706029	5237530	5583789	2365704	0	12.1	12147	0	0	344229
PSC	0	23092876D	22998976	2874175	4821958	5412460	2289086	0	10.0	6810	0	0	430934
PSC	0	23092877D	23085025	2832229	4787703	5358853	2266198	0	9.5	15530	0	0	420990
